AREA # 010101,Sucre,,
"Tabique,quinche",19,2.18,98.28
Piedra,11,1.26,99.54
"Caña, palma, tronco",1,0.11,99.66
Otro,3,0.34,100
Total,870,100,100
NSA :,410,,
AREA # 070804,Postrer Valle,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",88,14.62,14.62
"Adobe, tapial",352,58.47,73.09
"Tabique,quinche",15,2.49,75.58
Piedra,13,2.16,77.74
Madera,122,20.27,98.01
"Caña, palma, tronco",3,0.5,98.5
Otro,9,1.5,100
Total,602,100,100
NSA :,131,,
AREA # 070805,Pucara,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",29,4.52,4.52
"Adobe, tapial",525,81.78,86.29
"Tabique,quinche",20,3.12,89.41
Piedra,57,8.88,98.29
Madera,8,1.25,99.53
Otro,3,0.47,100
Total,642,100,100
NSA :,20,,
AREA # 070901,Samaipata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",932,29.91,29.91
"Adobe, tapial","           1,949",62.55,92.46
"Tabique,quinche",143,4.59,97.05
Piedra,20,0.64,97.69
Madera,49,1.57,99.26
"Caña, palma, tronco",6,0.19,99.45
Otro,17,0.55,100
Total,"           3,116",100,100
NSA :,"           1,008",,
AREA # 070902,Pampa Grande,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",857,31.51,31.51
"Adobe, tapial","           1,605",59.01,90.51
"Tabique,quinche",65,2.39,92.9
Piedra,10,0.37,93.27
Madera,116,4.26,97.54
"Caña, palma, tronco",7,0.26,97.79
Otro,60,2.21,100
Total,"           2,720",100,100
NSA :,645,,
AREA # 070903,Mairana,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,571",52.84,52.84
"Adobe, tapial","           1,201",40.4,93.24
"Tabique,quinche",28,0.94,94.18
Piedra,4,0.13,94.32
Madera,113,3.8,98.12
"Caña, palma, tronco",23,0.77,98.89
Otro,33,1.11,100
Total,"           2,973",100,100
NSA :,527,,
AREA # 070904,Quirusillas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",193,26.19,26.19
"Adobe, tapial",512,69.47,95.66
"Tabique,quinche",25,3.39,99.05
Piedra,3,0.41,99.46
Madera,1,0.14,99.59
"Caña, palma, tronco",1,0.14,99.73
Otro,2,0.27,100
Total,737,100,100
NSA :,110,,
AREA # 071001,Montero,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          23,323",88.57,88.57
"Adobe, tapial",512,1.94,90.52
"Tabique,quinche",99,0.38,90.89
Piedra,13,0.05,90.94
Madera,"           1,796",6.82,97.76
"Caña, palma, tronco",124,0.47,98.23
Otro,465,1.77,100
Total,"          26,332",100,100
NSA :,"           2,219",,
AREA # 071002,Gral. Saavedra,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,199",67.66,67.66
"Adobe, tapial",385,11.85,79.51
"Tabique,quinche",97,2.98,82.49
Piedra,1,0.03,82.52
Madera,254,7.82,90.34
"Caña, palma, tronco",119,3.66,94
Otro,195,6,100
Total,"           3,250",100,100
NSA :,344,,
AREA # 071003,Mineros,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,952",74.06,74.06
"Adobe, tapial",292,5.47,79.54
"Tabique,quinche",26,0.49,80.02
Piedra,3,0.06,80.08
Madera,626,11.73,91.81
"Caña, palma, tronco",196,3.67,95.48
Otro,241,4.52,100
Total,"           5,336",100,100
NSA :,497,,
AREA # 071004,Fernández Alonso,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,176",68.36,68.36
"Adobe, tapial",72,2.26,70.63
"Tabique,quinche",19,0.6,71.22
Piedra,11,0.35,71.57
Madera,807,25.35,96.92
"Caña, palma, tronco",42,1.32,98.24
Otro,56,1.76,100
Total,"           3,183",100,100
NSA :,415,,
AREA # 071005,San Pedro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,707",47.96,47.96
"Adobe, tapial",114,3.2,51.17
"Tabique,quinche",4,0.11,51.28
Piedra,7,0.2,51.48
Madera,"           1,635",45.94,97.42
"Caña, palma, tronco",69,1.94,99.35
Otro,23,0.65,100
Total,"           3,559",100,100
NSA :,428,,
AREA # 071101,Concepción,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",603,14.1,14.1
"Adobe, tapial","           1,794",41.96,56.06
"Tabique,quinche",593,13.87,69.93
Piedra,8,0.19,70.11
Madera,"           1,068",24.98,95.09
"Caña, palma, tronco",140,3.27,98.36
Otro,70,1.64,100
Total,"           4,276",100,100
NSA :,449,,
AREA # 071102,San Javier,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",871,27.38,27.38
"Adobe, tapial",965,30.34,57.72
"Tabique,quinche",469,14.74,72.46
Piedra,4,0.13,72.59
Madera,649,20.4,92.99
"Caña, palma, tronco",174,5.47,98.46
Otro,49,1.54,100
Total,"           3,181",100,100
NSA :,148,,
AREA # 071103,San Ramón,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",906,52.71,52.71
"Adobe, tapial",139,8.09,60.79
"Tabique,quinche",241,14.02,74.81
Piedra,3,0.17,74.99
Madera,314,18.27,93.25
"Caña, palma, tronco",49,2.85,96.1
Otro,67,3.9,100
Total,"           1,719",100,100
NSA :,187,,
AREA # 071104,San Julián,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           5,582",44.18,44.18
"Adobe, tapial",843,6.67,50.85
"Tabique,quinche",166,1.31,52.16
Piedra,80,0.63,52.79
Madera,"           4,973",39.36,92.15
"Caña, palma, tronco",802,6.35,98.5
Otro,190,1.5,100
Total,"          12,636",100,100
NSA :,"           1,336",,
AREA # 071105,San Antonio de Lomerío,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",59,5.1,5.1
"Adobe, tapial",576,49.83,54.93
"Tabique,quinche",482,41.7,96.63
Piedra,3,0.26,96.89
Madera,26,2.25,99.13
"Caña, palma, tronco",2,0.17,99.31
Otro,8,0.69,100
Total,"           1,156",100,100
NSA :,88,,
AREA # 071106,Cuatro Cañadas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           4,032",79.18,79.18
"Adobe, tapial",273,5.36,84.54
"Tabique,quinche",21,0.41,84.96
Piedra,5,0.1,85.05
Madera,625,12.27,97.33
"Caña, palma, tronco",33,0.65,97.98
Otro,103,2.02,100
Total,"           5,092",100,100
NSA :,733,,
AREA # 071201,San Matías,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,619",50.36,50.36
"Adobe, tapial",855,26.59,76.95
"Tabique,quinche",390,12.13,89.08
Piedra,17,0.53,89.61
Madera,197,6.13,95.74
"Caña, palma, tronco",87,2.71,98.44
Otro,50,1.56,100
Total,"           3,215",100,100
NSA :,236,,
AREA # 071301,Comarapa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",704,15.22,15.22
"Adobe, tapial","           3,694",79.87,95.09
"Tabique,quinche",24,0.52,95.61
Piedra,6,0.13,95.74
Madera,120,2.59,98.34
"Caña, palma, tronco",48,1.04,99.37
Otro,29,0.63,100
Total,"           4,625",100,100
NSA :,869,,
AREA # 071302,Saipina,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",525,29.63,29.63
"Adobe, tapial","           1,125",63.49,93.12
"Tabique,quinche",94,5.3,98.42
Piedra,1,0.06,98.48
Madera,4,0.23,98.7
"Caña, palma, tronco",12,0.68,99.38
Otro,11,0.62,100
Total,"           1,772",100,100
NSA :,286,,
AREA # 071401,Puerto Suarez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,560",77.61,77.61
"Adobe, tapial",92,2.01,79.62
"Tabique,quinche",88,1.92,81.53
Piedra,18,0.39,81.93
Madera,656,14.3,96.23
"Caña, palma, tronco",41,0.89,97.12
Otro,132,2.88,100
Total,"           4,587",100,100
NSA :,543,,
AREA # 071402,Puerto Quijarro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,322",85.14,85.14
"Adobe, tapial",31,0.79,85.93
"Tabique,quinche",46,1.18,87.11
Piedra,8,0.21,87.31
Madera,438,11.23,98.54
"Caña, palma, tronco",6,0.15,98.69
Otro,51,1.31,100
Total,"           3,902",100,100
NSA :,612,,
AREA # 071403,Carmen Rivero Torrez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",504,34.26,34.26
"Adobe, tapial",99,6.73,40.99
"Tabique,quinche",197,13.39,54.38
Piedra,18,1.22,55.61
Madera,510,34.67,90.28
"Caña, palma, tronco",66,4.49,94.77
Otro,77,5.23,100
Total,"           1,471",100,100
NSA :,193,,
AREA # 071501,Ascensión de Guarayos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,758",31.93,31.93
"Adobe, tapial","           1,027",18.66,50.59
"Tabique,quinche",164,2.98,53.57
Piedra,32,0.58,54.15
Madera,"           2,181",39.62,93.77
"Caña, palma, tronco",254,4.61,98.38
Otro,89,1.62,100
Total,"           5,505",100,100
NSA :,558,,
AREA # 071502,Urubichá,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",85,7.18,7.18
"Adobe, tapial",833,70.35,77.53
"Tabique,quinche",78,6.59,84.12
Piedra,1,0.08,84.21
Madera,81,6.84,91.05
"Caña, palma, tronco",92,7.77,98.82
Otro,14,1.18,100
Total,"           1,184",100,100
NSA :,160,,
AREA # 071503,El Puente,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",554,12.42,12.42
"Adobe, tapial",573,12.84,25.26
"Tabique,quinche",143,3.2,28.46
Piedra,22,0.49,28.96
Madera,"           2,731",61.21,90.16
"Caña, palma, tronco",211,4.73,94.89
Otro,228,5.11,100
Total,"           4,462",100,100
NSA :,516,,
AREA # 080101,Trinidad,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          17,222",69.65,69.65
"Adobe, tapial",589,2.38,72.03
"Tabique,quinche",823,3.33,75.36
Piedra,41,0.17,75.52
Madera,"           4,525",18.3,93.82
"Caña, palma, tronco",651,2.63,96.46
Otro,876,3.54,100
Total,"          24,727",100,100
NSA :,"           2,256",,
AREA # 080102,San Javier,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",243,20.07,20.07
"Adobe, tapial",51,4.21,24.28
"Tabique,quinche",170,14.04,38.32
Madera,632,52.19,90.5
"Caña, palma, tronco",59,4.87,95.38
Otro,56,4.62,100
Total,"           1,211",100,100
NSA :,32,,
AREA # 080201,Riberalta,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           8,356",42.73,42.73
"Adobe, tapial",746,3.81,46.54
"Tabique,quinche","           1,133",5.79,52.33
Piedra,49,0.25,52.58
Madera,"           8,552",43.73,96.31
"Caña, palma, tronco",307,1.57,97.88
Otro,414,2.12,100
Total,"          19,557",100,100
NSA :,"           1,586",,
AREA # 080202,Guayaramerín,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           5,444",58.23,58.23
"Adobe, tapial",206,2.2,60.43
"Tabique,quinche",87,0.93,61.36
Piedra,24,0.26,61.62
Madera,"           3,412",36.5,98.12
"Caña, palma, tronco",118,1.26,99.38
Otro,58,0.62,100
Total,"           9,349",100,100
NSA :,783,,
AREA # 080301,Reyes,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,003",33.93,33.93
"Adobe, tapial",145,4.91,38.84
"Tabique,quinche",362,12.25,51.08
Piedra,10,0.34,51.42
Madera,"           1,129",38.19,89.61
"Caña, palma, tronco",259,8.76,98.38
Otro,48,1.62,100
Total,"           2,956",100,100
NSA :,282,,
AREA # 080302,San Borja,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,190",33.73,33.73
"Adobe, tapial",218,2.31,36.04
"Tabique,quinche",257,2.72,38.75
Piedra,23,0.24,39
Madera,"           4,196",44.37,83.37
"Caña, palma, tronco",769,8.13,91.5
Otro,804,8.5,100
Total,"           9,457",100,100
NSA :,813,,
AREA # 080303,Santa Rosa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",755,38.4,38.4
"Adobe, tapial",146,7.43,45.83
"Tabique,quinche",353,17.96,63.78
Piedra,1,0.05,63.84
Madera,541,27.52,91.35
"Caña, palma, tronco",120,6.1,97.46
Otro,50,2.54,100
Total,"           1,966",100,100
NSA :,65,,
AREA # 080304,Rurrenabaque,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,921",39.18,39.18
"Adobe, tapial",77,1.57,40.75
"Tabique,quinche",23,0.47,41.22
Piedra,21,0.43,41.65
Madera,"           2,231",45.5,87.15
"Caña, palma, tronco",493,10.06,97.21
Otro,137,2.79,100
Total,"           4,903",100,100
NSA :,522,,
AREA # 080401,Santa Ana de Yacuma,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,656",45.12,45.12
"Adobe, tapial",508,13.84,58.96
"Tabique,quinche",560,15.26,74.22
Piedra,3,0.08,74.31
Madera,529,14.41,88.72
"Caña, palma, tronco",211,5.75,94.47
Otro,203,5.53,100
Total,"           3,670",100,100
NSA :,326,,
AREA # 080402,Exaltación,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",144,15.09,15.09
"Adobe, tapial",151,15.83,30.92
"Tabique,quinche",153,16.04,46.96
Piedra,3,0.31,47.27
Madera,265,27.78,75.05
"Caña, palma, tronco",196,20.55,95.6
Otro,42,4.4,100
Total,954,100,100
NSA :,71,,
AREA # 080501,San Ignacio,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,311",29.9,29.9
"Adobe, tapial",141,3.22,33.11
"Tabique,quinche",403,9.19,42.3
Piedra,18,0.41,42.71
Madera,"           1,706",38.91,81.62
"Caña, palma, tronco",518,11.81,93.43
Otro,288,6.57,100
Total,"           4,385",100,100
NSA :,555,,
AREA # 080601,Loreto,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",187,21.57,21.57
"Adobe, tapial",14,1.61,23.18
"Tabique,quinche",73,8.42,31.6
Piedra,2,0.23,31.83
Madera,385,44.41,76.24
"Caña, palma, tronco",78,9,85.24
Otro,128,14.76,100
Total,867,100,100
NSA :,134,,
AREA # 080602,San Andrés,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",368,11.92,11.92
"Adobe, tapial",70,2.27,14.19
"Tabique,quinche",421,13.64,27.84
Piedra,23,0.75,28.58
Madera,"           1,836",59.49,88.08
"Caña, palma, tronco",155,5.02,93.1
Otro,213,6.9,100
Total,"           3,086",100,100
NSA :,234,,
AREA # 080701,San Joaquín,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",242,19.21,19.21
"Adobe, tapial",474,37.62,56.83
"Tabique,quinche",160,12.7,69.52
Piedra,1,0.08,69.6
Madera,225,17.86,87.46
"Caña, palma, tronco",105,8.33,95.79
Otro,53,4.21,100
Total,"           1,260",100,100
NSA :,128,,
AREA # 080702,San Ramón,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",311,26.63,26.63
"Adobe, tapial",583,49.91,76.54
"Tabique,quinche",41,3.51,80.05
Piedra,1,0.09,80.14
Madera,90,7.71,87.84
"Caña, palma, tronco",104,8.9,96.75
Otro,38,3.25,100
Total,"           1,168",100,100
NSA :,219,,
AREA # 080703,Puerto Siles,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",36,17.31,17.31
"Adobe, tapial",5,2.4,19.71
"Tabique,quinche",15,7.21,26.92
Piedra,2,0.96,27.88
Madera,118,56.73,84.62
"Caña, palma, tronco",25,12.02,96.63
Otro,7,3.37,100
Total,208,100,100
NSA :,65,,
AREA # 080801,Magdalena,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",499,22.48,22.48
"Adobe, tapial",869,39.14,61.62
"Tabique,quinche",13,0.59,62.21
Piedra,1,0.05,62.25
Madera,768,34.59,96.85
"Caña, palma, tronco",53,2.39,99.23
Otro,17,0.77,100
Total,"           2,220",100,100
NSA :,271,,
AREA # 080802,Baures,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",68,4.96,4.96
"Adobe, tapial",633,46.17,51.13
"Tabique,quinche",22,1.6,52.74
Piedra,2,0.15,52.88
Madera,580,42.3,95.19
"Caña, palma, tronco",56,4.08,99.27
Otro,10,0.73,100
Total,"           1,371",100,100
NSA :,146,,
AREA # 080803,Huacaraje,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",201,24.36,24.36
"Adobe, tapial",380,46.06,70.42
"Tabique,quinche",134,16.24,86.67
Madera,82,9.94,96.61
"Caña, palma, tronco",13,1.58,98.18
Otro,15,1.82,100
Total,825,100,100
NSA :,72,,
AREA # 090101,Cobija,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           5,778",46.74,46.74
"Adobe, tapial",25,0.2,46.94
"Tabique,quinche",13,0.11,47.05
Piedra,32,0.26,47.31
Madera,"           6,406",51.82,99.13
"Caña, palma, tronco",13,0.11,99.23
Otro,95,0.77,100
Total,"          12,362",100,100
NSA :,"           1,593",,
AREA # 090102,Porvenir,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",320,19.22,19.22
"Adobe, tapial",14,0.84,20.06
"Tabique,quinche",13,0.78,20.84
Piedra,7,0.42,21.26
Madera,"           1,278",76.76,98.02
"Caña, palma, tronco",22,1.32,99.34
Otro,11,0.66,100
Total,"           1,665",100,100
NSA :,169,,
AREA # 090103,Bolpebra,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",24,4.36,4.36
"Tabique,quinche",1,0.18,4.54
Piedra,2,0.36,4.9
Madera,486,88.2,93.1
"Caña, palma, tronco",24,4.36,97.46
Otro,14,2.54,100
Total,551,100,100
NSA :,66,,
AREA # 090104,Bella Flor,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",84,8.7,8.7
"Adobe, tapial",1,0.1,8.8
"Tabique,quinche",1,0.1,8.9
Piedra,4,0.41,9.32
Madera,832,86.13,95.45
"Caña, palma, tronco",19,1.97,97.41
Otro,25,2.59,100
Total,966,100,100
NSA :,279,,
AREA # 090201,Puerto Rico,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",106,7.63,7.63
"Adobe, tapial",10,0.72,8.35
"Tabique,quinche",4,0.29,8.64
Piedra,6,0.43,9.07
Madera,"           1,161",83.59,92.66
"Caña, palma, tronco",65,4.68,97.34
Otro,37,2.66,100
Total,"           1,389",100,100
NSA :,232,,
AREA # 090202,San Pedro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",12,1.98,1.98
"Adobe, tapial",1,0.16,2.14
"Tabique,quinche",11,1.81,3.95
Piedra,2,0.33,4.28
Madera,441,72.65,76.94
"Caña, palma, tronco",123,20.26,97.2
Otro,17,2.8,100
Total,607,100,100
NSA :,7,,
AREA # 090203,Filadelfia,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",69,4.76,4.76
"Adobe, tapial",1,0.07,4.83
"Tabique,quinche",1,0.07,4.9
Piedra,10,0.69,5.59
Madera,"           1,247",86,91.59
"Caña, palma, tronco",65,4.48,96.07
Otro,57,3.93,100
Total,"           1,450",100,100
NSA :,82,,
AREA # 090301,Puerto Gonzales Moreno,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",67,6.52,6.52
"Adobe, tapial",7,0.68,7.21
"Tabique,quinche",49,4.77,11.98
Piedra,3,0.29,12.27
Madera,760,74,86.27
"Caña, palma, tronco",110,10.71,96.98
Otro,31,3.02,100
Total,"           1,027",100,100
NSA :,60,,
AREA # 090302,San Lorenzo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",18,1.31,1.31
"Adobe, tapial",6,0.44,1.74
"Tabique,quinche",29,2.1,3.84
Piedra,8,0.58,4.42
Madera,"           1,098",79.62,84.05
"Caña, palma, tronco",175,12.69,96.74
Otro,45,3.26,100
Total,"           1,379",100,100
NSA :,61,,
AREA # 090303,Sena,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",50,3.03,3.03
"Adobe, tapial",8,0.49,3.52
"Tabique,quinche",22,1.33,4.85
Piedra,11,0.67,5.52
Madera,865,52.49,58.01
"Caña, palma, tronco",653,39.62,97.63
Otro,39,2.37,100
Total,"           1,648",100,100
NSA :,38,,
AREA # 090401,Santa Rosa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",56,9.18,9.18
Piedra,4,0.66,9.84
Madera,516,84.59,94.43
"Caña, palma, tronco",23,3.77,98.2
Otro,11,1.8,100
Total,610,100,100
NSA :,41,,
AREA # 090402,Ingavi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",20,5.68,5.68
"Adobe, tapial",2,0.57,6.25
"Tabique,quinche",14,3.98,10.23
Piedra,8,2.27,12.5
Madera,264,75,87.5
"Caña, palma, tronco",42,11.93,99.43
Otro,2,0.57,100
Total,352,100,100
NSA :,7,,
AREA # 090501,Nueva Esperanza,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",26,4.91,4.91
"Adobe, tapial",4,0.76,5.67
Piedra,5,0.95,6.62
Madera,467,88.28,94.9
"Caña, palma, tronco",20,3.78,98.68
Otro,7,1.32,100
Total,529,100,100
NSA :,42,,
AREA # 090502,Villa Nueva (Loma Alta),,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",142,21.1,21.1
"Adobe, tapial",2,0.3,21.4
"Tabique,quinche",3,0.45,21.84
Piedra,2,0.3,22.14
Madera,415,61.66,83.8
"Caña, palma, tronco",97,14.41,98.22
Otro,12,1.78,100
Total,673,100,100
NSA :,33,,
AREA # 090503,Santos Mercado,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",1,0.26,0.26
"Adobe, tapial",5,1.3,1.56
"Tabique,quinche",8,2.08,3.64
Piedra,1,0.26,3.9
Madera,208,54.03,57.92
"Caña, palma, tronco",144,37.4,95.32
Otro,18,4.68,100
Total,385,100,100


