AREA # 010101,Sucre,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",209,5.61,5.61
"Adobe, tapial","           1,172",31.46,37.07
"Tabique,quinche",3,0.08,37.15
Piedra,7,0.19,37.34
Madera,"           1,972",52.94,90.28
"Caña, palma, tronco",318,8.54,98.82
Otro,44,1.18,100
Total,"           3,725",100,100
NSA :,362,,
AREA # 020701,Apolo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",401,8.77,8.77
"Adobe, tapial","           3,465",75.8,84.58
"Tabique,quinche",285,6.23,90.81
Piedra,17,0.37,91.18
Madera,314,6.87,98.05
"Caña, palma, tronco",69,1.51,99.56
Otro,20,0.44,100
Total,"           4,571",100,100
NSA :,611,,
AREA # 020702,Pelechuco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",171,7.53,7.53
"Adobe, tapial",935,41.15,48.68
"Tabique,quinche",6,0.26,48.94
Piedra,"           1,102",48.5,97.45
Madera,11,0.48,97.93
"Caña, palma, tronco",2,0.09,98.02
Otro,45,1.98,100
Total,"           2,272",100,100
NSA :,702,,
AREA # 020801,Viacha,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          13,333",50.98,50.98
"Adobe, tapial","          12,587",48.13,99.11
"Tabique,quinche",69,0.26,99.38
Piedra,35,0.13,99.51
Madera,4,0.02,99.53
"Caña, palma, tronco",1,0,99.53
Otro,123,0.47,100
Total,"          26,152",100,100
NSA :,"           3,410",,
AREA # 020802,Guaqui,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",268,9.8,9.8
"Adobe, tapial","           2,419",88.45,98.24
"Tabique,quinche",1,0.04,98.28
Piedra,45,1.65,99.93
Otro,2,0.07,100
Total,"           2,735",100,100
NSA :,506,,
AREA # 020803,Tiahuanacu,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",239,6.62,6.62
"Adobe, tapial","           3,346",92.66,99.28
"Tabique,quinche",11,0.3,99.58
Piedra,10,0.28,99.86
Otro,5,0.14,100
Total,"           3,611",100,100
NSA :,444,,
AREA # 020804,Desaguadero,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",883,39.17,39.17
"Adobe, tapial","           1,219",54.08,93.26
"Tabique,quinche",6,0.27,93.52
Piedra,138,6.12,99.65
Otro,8,0.35,100
Total,"           2,254",100,100
NSA :,362,,
AREA # 020805,San Andrés de Machaca,,
